participant_id,paragraph_id,region,region_text,aoi_id,aoi_text,dwell_time
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,1,What,0
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,2,will,351
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,3,happen,221
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,4,to,178
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,5,the,263
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,6,bottle,167
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,7,after,254
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,8,the,103
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,9,experts,289
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,10,finish,277
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,11,examining,193
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,12,the,0
l10_341,6,question,What will happen to the bottle after the experts finish examining the text?,13,text?,0
l10_341,6,answer_C,Photos of it will be put on display,14,Photos,0
l10_341,6,answer_C,Photos of it will be put on display,15,of,110
l10_341,6,answer_C,Photos of it will be put on display,16,it,0
l10_341,6,answer_C,Photos of it will be put on display,17,will,0
l10_341,6,answer_C,Photos of it will be put on display,18,be,155
l10_341,6,answer_C,Photos of it will be put on display,19,put,0
l10_341,6,answer_C,Photos of it will be put on display,20,on,0
l10_341,6,answer_C,Photos of it will be put on display,21,display,90
l10_341,6,answer_B,It will stay at the Maritime Museum,22,It,0
l10_341,6,answer_B,It will stay at the Maritime Museum,23,will,0
l10_341,6,answer_B,It will stay at the Maritime Museum,24,stay,179
l10_341,6,answer_B,It will stay at the Maritime Museum,25,at,0
l10_341,6,answer_B,It will stay at the Maritime Museum,26,the,176
l10_341,6,answer_B,It will stay at the Maritime Museum,27,Maritime,224
l10_341,6,answer_B,It will stay at the Maritime Museum,28,Museum,178
l10_341,6,answer_A,Its fate is not known,29,Its,212
l10_341,6,answer_A,Its fate is not known,30,fate,185
l10_341,6,answer_A,Its fate is not known,31,is,0
l10_341,6,answer_A,Its fate is not known,32,not,39
l10_341,6,answer_A,Its fate is not known,33,known,0
l10_341,6,answer_D,It will be given to Erdmann,34,It,0
l10_341,6,answer_D,It will be given to Erdmann,35,will,183
l10_341,6,answer_D,It will be given to Erdmann,36,be,227
l10_341,6,answer_D,It will be given to Erdmann,37,given,0
l10_341,6,answer_D,It will be given to Erdmann,38,to,0
l10_341,6,answer_D,It will be given to Erdmann,39,Erdmann,0
l11_344,2,question,What did Angela's visitor deliver?,1,What,167
l11_344,2,question,What did Angela's visitor deliver?,2,did,208
l11_344,2,question,What did Angela's visitor deliver?,3,Angela's,0
l11_344,2,question,What did Angela's visitor deliver?,4,visitor,382
l11_344,2,question,What did Angela's visitor deliver?,5,deliver?,0
l11_344,2,answer_D,A package for Angela,6,A,0
l11_344,2,answer_D,A package for Angela,7,package,269
l11_344,2,answer_D,A package for Angela,8,for,0
l11_344,2,answer_D,A package for Angela,9,Angela,0
l11_344,2,answer_C,A letter from a museum in Hamburg,10,A,0
l11_344,2,answer_C,A letter from a museum in Hamburg,11,letter,199
l11_344,2,answer_C,A letter from a museum in Hamburg,12,from,0
l11_344,2,answer_C,A letter from a museum in Hamburg,13,a,0
l11_344,2,answer_C,A letter from a museum in Hamburg,14,museum,323
l11_344,2,answer_C,A letter from a museum in Hamburg,15,in,0
l11_344,2,answer_C,A letter from a museum in Hamburg,16,Hamburg,0
l11_344,2,answer_B,A message from the post office,17,A,0
l11_344,2,answer_B,A message from the post office,18,message,175
l11_344,2,answer_B,A message from the post office,19,from,0
l11_344,2,answer_B,A message from the post office,20,the,0
l11_344,2,answer_B,A message from the post office,21,post,165
l11_344,2,answer_B,A message from the post office,22,office,0
l11_344,2,answer_A,News of the discovery of the bottle,23,News,221
l11_344,2,answer_A,News of the discovery of the bottle,24,of,180
l11_344,2,answer_A,News of the discovery of the bottle,25,the,139
l11_344,2,answer_A,News of the discovery of the bottle,26,discovery,415
l11_344,2,answer_A,News of the discovery of the bottle,27,of,0
l11_344,2,answer_A,News of the discovery of the bottle,28,the,210
l11_344,2,answer_A,News of the discovery of the bottle,29,bottle,0
l11_344,3,question,How was the bottle discovered?,1,How,170
l11_344,3,question,How was the bottle discovered?,2,was,0
l11_344,3,question,How was the bottle discovered?,3,the,464
l11_344,3,question,How was the bottle discovered?,4,bottle,144
l11_344,3,question,How was the bottle discovered?,5,discovered?,0
l11_344,3,answer_B,It washed up on the shore of Kiel,6,It,0
l11_344,3,answer_B,It washed up on the shore of Kiel,7,washed,0
l11_344,3,answer_B,It washed up on the shore of Kiel,8,up,352
l11_344,3,answer_B,It washed up on the shore of Kiel,9,on,0
l11_344,3,answer_B,It washed up on the shore of Kiel,10,the,0
l11_344,3,answer_B,It washed up on the shore of Kiel,11,shore,401
l11_344,3,answer_B,It washed up on the shore of Kiel,12,of,0
l11_344,3,answer_B,It washed up on the shore of Kiel,13,Kiel,0
l11_344,3,answer_C,Holger von Neuhoff discovered it,14,Holger,0
l11_344,3,answer_C,Holger von Neuhoff discovered it,15,von,210
l11_344,3,answer_C,Holger von Neuhoff discovered it,16,Neuhoff,138
l11_344,3,answer_C,Holger von Neuhoff discovered it,17,discovered,191
l11_344,3,answer_C,Holger von Neuhoff discovered it,18,it,0
l11_344,3,answer_A,A fisherman discovered it,19,A,0
l11_344,3,answer_A,A fisherman discovered it,20,fisherman,346
l11_344,3,answer_A,A fisherman discovered it,21,discovered,494
l11_344,3,answer_A,A fisherman discovered it,22,it,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,23,A,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,24,boy,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,25,discovered,568
l11_344,3,answer_D,A boy discovered it while playing in the sea,26,it,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,27,while,173
l11_344,3,answer_D,A boy discovered it while playing in the sea,28,playing,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,29,in,0
l11_344,3,answer_D,A boy discovered it while playing in the sea,30,the,183
l11_344,3,answer_D,A boy discovered it while playing in the sea,31,sea,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",1,According,166
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",2,to,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",3,"researchers,",162
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",4,when,76
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",5,did,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",6,Richard,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",7,Platz,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",8,throw,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",9,the,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",10,bottle,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",11,into,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",12,the,0
l11_344,4,question,"According to researchers, when did Richard Platz throw the bottle into the sea?",13,sea?,0
l11_344,4,answer_A,At the age of 20,14,At,0
l11_344,4,answer_A,At the age of 20,15,the,0
l11_344,4,answer_A,At the age of 20,16,age,465
l11_344,4,answer_A,At the age of 20,17,of,263
l11_344,4,answer_A,At the age of 20,18,20,192
l11_344,4,answer_B,Before 1913,19,Before,249
l11_344,4,answer_B,Before 1913,20,1913,247
l11_344,4,answer_C,At the age of 54,21,At,0
l11_344,4,answer_C,At the age of 54,22,the,144
l11_344,4,answer_C,At the age of 54,23,age,0
l11_344,4,answer_C,At the age of 54,24,of,120
l11_344,4,answer_C,At the age of 54,25,54,0
l11_344,4,answer_D,Before 1901,26,Before,284
l11_344,4,answer_D,Before 1901,27,1901,155
l12_345,5,question,Which of the following characteristics does Angela Erdman share with her grandfather?,1,Which,19
l12_345,5,question,Which of the following characteristics does Angela Erdman share with her grandfather?,2,of,107
